airline_name,flight_code
AirAsia,1454
SpiceJet,535
Air India,9929
GO FIRST,300
Indigo,6223
Indigo,2053
Air India,9928
Indigo,319
Indigo,978
Indigo,6086
Indigo,5355
Indigo,7292
Indigo,7071
Indigo,708
Indigo,5329
GO FIRST,7553
Indigo,818
Indigo,856
GO FIRST,9110
Indigo,6123
Indigo,448
Indigo,461
Indigo,519
Air India,879
Indigo,6178
Indigo,401
Indigo,7208
Indigo,747
Indigo,7288
Indigo,271
Vistara,861
SpiceJet,327
Indigo,502
Indigo,6242
Air India,721
Indigo,205
Air India,9017
Indigo,6109
Air India,489
Indigo,7084
Indigo,2082
Indigo,2081
Indigo,5006
Indigo,716
Indigo,922
Air India,801
Indigo,573
Air India,772
AirAsia,735
Indigo,575
Indigo,2107
Indigo,6269
Indigo,227
Indigo,759
GO FIRST,1010
SpiceJet,264
Indigo,201
Indigo,261
Indigo,353
Indigo,713
Indigo,676
Indigo,395
Air India,781
Indigo,6572
Air India,667
Indigo,268
Indigo,952
Trujet,623
Indigo,2841
Air India,603
Indigo,5206
Indigo,6802
Air India,499
Indigo,503
Indigo,172
GO FIRST,297
GO FIRST,551
Indigo,7227
Air India,407
Air India,563
GO FIRST,813
Indigo,6062
GO FIRST,2440
Indigo,6636
Indigo,2109
Air India,9857
GO FIRST,121
Indigo,121
SpiceJet,8701
Indigo,963
GO FIRST,2504
Indigo,7336
GO FIRST,357
Indigo,6231
SpiceJet,438
Indigo,234
Indigo,635
Indigo,537
SpiceJet,8723
Indigo,6553
SpiceJet,8179
Indigo,581
StarAir,131
StarAir,151
AirAsia,881
Indigo,907
StarAir,152
SpiceJet,3719
Indigo,6098
AirAsia,5204
Indigo,5337
SpiceJet,254
Indigo,2106
Air India,601
Indigo,892
Indigo,7175
GO FIRST,381
Indigo,2013
Indigo,6271
Indigo,2057
GO FIRST,911
Indigo,148
Indigo,146
Indigo,5358
Indigo,5342
GO FIRST,2601
Indigo,848
Air India,715
GO FIRST,602
Air India,509
SpiceJet,635
Indigo,2763
GO FIRST,268
Air India,9015
Indigo,5014
GO FIRST,2502
Indigo,7183
SpiceJet,3233
Air India,9809
Indigo,2103
GO FIRST,2606
GO FIRST,3184
Indigo,2178
Indigo,6825
SpiceJet,6003
Indigo,6084
SpiceJet,1089
Indigo,2069
Indigo,2033
GO FIRST,1171
SpiceJet,1062
SpiceJet,1061
Indigo,266
Indigo,212
Indigo,6095
Indigo,6245
SpiceJet,5067
SpiceJet,634
SpiceJet,1031
SpiceJet,946
Indigo,866
Indigo,2471
Indigo,821
Indigo,546
GO FIRST,299
SpiceJet,3321
Indigo,7115
GO FIRST,294
AirAsia,361
Indigo,5042
Indigo,611
Indigo,6213
SpiceJet,6006
AirAsia,589
SpiceJet,1077
SpiceJet,6005
GO FIRST,404
SpiceJet,5075
SpiceJet,415
SpiceJet,5069
SpiceJet,468
GO FIRST,131
SpiceJet,1057
Air India,564
SpiceJet,1056
Indigo,5395
Air India,493
GO FIRST,188
Air India,861
Indigo,2089
Air India,9609
SpiceJet,1063
SpiceJet,1032
SpiceJet,5088
Air India,641
SpiceJet,6027
SpiceJet,1092
GO FIRST,719
Indigo,6227
Indigo,387
AirAsia,736
SpiceJet,8910
GO FIRST,199
AirAsia,892
Air India,9030
SpiceJet,1071
Indigo,6106
Indigo,5431
GO FIRST,384
SpiceJet,5012
Indigo,5063
GO FIRST,374
Indigo,6717
Indigo,213
Air India,9645
Air India,9919
Indigo,436
Indigo,192
SpiceJet,5013
Indigo,2032
Vistara,671
SpiceJet,274
SpiceJet,5019
Indigo,882
Indigo,736
Indigo,307
Indigo,286
SpiceJet,5018
Indigo,6268
Indigo,695
Indigo,6206
SpiceJet,1059
AirAsia,360
Indigo,245
Indigo,5026
Indigo,7589
Indigo,6211
Indigo,7348
GO FIRST,815
AirAsia,334
Indigo,6915
Indigo,6292
Indigo,557
Indigo,938
SpiceJet,8195
Indigo,5071
GO FIRST,403
Indigo,7193
Indigo,453
Indigo,469
Indigo,478
Indigo,2719
Indigo,2511
Indigo,2274
Indigo,6815
SpiceJet,649
Indigo,943
Indigo,947
Indigo,951
Indigo,6094
Indigo,208
Indigo,177
GO FIRST,105
Indigo,6515
SpiceJet,395
Indigo,153
Indigo,6294
Indigo,5501
Indigo,374
SpiceJet,5068
Trujet,515
Indigo,6517
Vistara,721
Indigo,363
GO FIRST,108
SpiceJet,1072
SpiceJet,1090
SpiceJet,5094
SpiceJet,5006
SpiceJet,6017
SpiceJet,5074
SpiceJet,5072
SpiceJet,5093
GO FIRST,401
Indigo,5059
Indigo,715
Air India,551
SpiceJet,5091
Indigo,5361
SpiceJet,5073
AirAsia,5406
Air India,652
Indigo,5373
Indigo,6393
Indigo,544
SpiceJet,1091
SpiceJet,6001
SpiceJet,5007
Trujet,518
SpiceJet,5002
Indigo,561
GO FIRST,209
Indigo,5393
Indigo,2901
Indigo,559
Indigo,6475
Indigo,5349
Vistara,641
SpiceJet,1054
SpiceJet,3564
SpiceJet,1074
Indigo,825
Indigo,442
Indigo,298
Air India,583
GO FIRST,207
Indigo,439
Indigo,308
Indigo,327
GO FIRST,397
AirAsia,1540
Indigo,477
Indigo,368
Indigo,274
GO FIRST,676
Indigo,123
SpiceJet,8905
SpiceJet,8906
GO FIRST,203
GO FIRST,917
GO FIRST,962
Indigo,408
Indigo,164
Indigo,151
SpiceJet,8968
Indigo,138
GO FIRST,2607
Indigo,105
GO FIRST,151
Indigo,365
Indigo,6309
Indigo,488
Indigo,7221
Indigo,5345
Indigo,7114
Indigo,5313
Indigo,7127
Indigo,5305
Indigo,7141
Indigo,7147
Indigo,5303
Indigo,5176
Indigo,7195
Indigo,5087
Indigo,7202
Indigo,5047
Indigo,5037
Indigo,2048
Indigo,7252
Indigo,5016
Indigo,5007
Indigo,7307
Indigo,7329
SpiceJet,107
Indigo,2519
Indigo,2346
SpiceJet,197
SpiceJet,223
Indigo,2176
SpiceJet,263
SpiceJet,292
Indigo,6993
Indigo,6971
Indigo,6939
Indigo,6897
Indigo,6293
Indigo,6282
Indigo,6264
Indigo,6381
Indigo,6247
Indigo,6417
Indigo,6444
Indigo,6478
Indigo,6479
Indigo,6198
Indigo,6197
Indigo,6189
Indigo,6186
Indigo,6565
Indigo,6183
Indigo,6174
Indigo,6148
Indigo,6612
Indigo,6096
Indigo,6085
Indigo,6741
Indigo,6781
Indigo,6029
Indigo,6023
Indigo,6817
Indigo,6876
Indigo,5381
Indigo,2087
Indigo,884
SpiceJet,366
Indigo,798
Indigo,911
Indigo,887
Indigo,869
SpiceJet,2508
SpiceJet,2643
Indigo,864
SpiceJet,3239
SpiceJet,3248
Indigo,802
Indigo,781
Indigo,972
SpiceJet,3723
SpiceJet,3725
SpiceJet,3728
Indigo,739
Indigo,738
Indigo,735
Indigo,727
Indigo,698
SpiceJet,8103
Indigo,969
Indigo,871
Indigo,533
Indigo,542
Indigo,987
Indigo,973
Indigo,584
Indigo,595
SpiceJet,487
Indigo,998
SpiceJet,8191
Indigo,2007
Indigo,2008
Indigo,621
Indigo,2015
Indigo,2016
GO FIRST,2506
Indigo,2022
Air India,487
Air India,9915
SpiceJet,389
Indigo,7259
Indigo,5088
Air India,9937
SpiceJet,6016
Indigo,961
GO FIRST,2201
Indigo,6623
Indigo,6719
SpiceJet,6018
SpiceJet,5079
SpiceJet,5025
Indigo,251
Indigo,634
Indigo,6121
GO FIRST,7542
Air India,9931
Air India,433
Air India,9911
Air India,437
SpiceJet,9911
Air India,9939
AirAsia,1427
Indigo,6926
Trujet,621
SpiceJet,5092
Indigo,3214
AirAsia,5402
Indigo,7293
Indigo,2938
GO FIRST,806
AirAsia,5405
Indigo,7587
Indigo,543
SpiceJet,8193
Indigo,5003
Indigo,2914
SpiceJet,8480
Indigo,6474
SpiceJet,8339
Indigo,3211
Indigo,6613
SpiceJet,8913
GO FIRST,705
GO FIRST,405
SpiceJet,1058
Indigo,865
Air India,9991
SpiceJet,8106
GO FIRST,107
StarAir,150
SpiceJet,9923
AirAsia,737
SpiceJet,9974
Indigo,2939
